Topology,Routing,Traffic,Injection Rate,Received Packets,Average Delay,Throughput
butterfly,DELTA,TRAFFIC_RANDOM,0.15,2327,4017.41,2.06678
butterfly,DELTA,TRAFFIC_RANDOM,0.2,2359,4382.93,2.09689
butterfly,DELTA,TRAFFIC_RANDOM,0.1,2372,3424.91,2.10722
butterfly,DELTA,TRAFFIC_BIT_REVERSAL,0.1,562,3215.67,0.5
butterfly,DELTA,TRAFFIC_BIT_REVERSAL,0.01,562,455.062,0.5
butterfly,DELTA,TRAFFIC_BIT_REVERSAL,0.15,562,4060.76,0.5
butterfly,DELTA,TRAFFIC_RANDOM,0.01,762,14.0564,0.676667
butterfly,DELTA,TRAFFIC_RANDOM,0.05,2373,1529.09,2.11067
butterfly,DELTA,TRAFFIC_BIT_REVERSAL,0.2,563,4280.42,0.5
butterfly,DELTA,TRAFFIC_BIT_REVERSAL,0.05,563,1843.86,0.5
baseline,DELTA,TRAFFIC_RANDOM,0.01,752,14.371,0.667889
baseline,DELTA,TRAFFIC_RANDOM,0.2,2361,4235.52,2.09911
baseline,DELTA,TRAFFIC_BIT_REVERSAL,0.01,563,376.607,0.5
baseline,DELTA,TRAFFIC_RANDOM,0.1,2333,3514.95,2.07389
baseline,DELTA,TRAFFIC_BIT_REVERSAL,0.1,563,3363.22,0.5
baseline,DELTA,TRAFFIC_RANDOM,0.15,2325,4117.27,2.06667
baseline,DELTA,TRAFFIC_BIT_REVERSAL,0.05,563,1251.32,0.5
baseline,DELTA,TRAFFIC_BIT_REVERSAL,0.2,563,4376.85,0.5
baseline,DELTA,TRAFFIC_BIT_REVERSAL,0.15,563,4052.34,0.5
baseline,DELTA,TRAFFIC_RANDOM,0.05,2346,1672.5,2.08589
omega,DELTA,TRAFFIC_BIT_REVERSAL,0.1,563,3476.56,0.5
omega,DELTA,TRAFFIC_RANDOM,0.05,2374,1398.99,2.11111
omega,DELTA,TRAFFIC_BIT_REVERSAL,0.2,562,4410.25,0.5
omega,DELTA,TRAFFIC_RANDOM,0.1,2367,3349.41,2.10367
omega,DELTA,TRAFFIC_BIT_REVERSAL,0.05,562,1424.99,0.5
omega,DELTA,TRAFFIC_RANDOM,0.2,2353,4352.48,2.09122
omega,DELTA,TRAFFIC_BIT_REVERSAL,0.15,562,4036.62,0.5
omega,DELTA,TRAFFIC_BIT_REVERSAL,0.01,563,372.892,0.5
omega,DELTA,TRAFFIC_RANDOM,0.01,755,14.9298,0.671
omega,DELTA,TRAFFIC_RANDOM,0.15,2356,4026.65,2.09489
