Topology,Routing,Traffic,Injection Rate,Received Packets,Average Delay,Throughput
mesh_4x4,DYAD,TRAFFIC_SHUFFLE,0.05,5839,581.228,5.18978
mesh_4x4,XY,TRAFFIC_RANDOM,0.01,1460,12.0863,1.29744
mesh_4x4,XY,TRAFFIC_SHUFFLE,0.15,6750,3190.14,5.99978
mesh_4x4,ODD_EVEN,TRAFFIC_TRANSPOSE1,0.05,5865,692.989,5.21322
mesh_4x4,DYAD,TRAFFIC_RANDOM,0.1,3585,3986.24,3.18878
mesh_4x4,ODD_EVEN,TRAFFIC_RANDOM,0.15,3842,4383.33,3.41511
mesh_4x4,WEST_FIRST,TRAFFIC_SHUFFLE,0.01,1426,8.13955,1.26911
mesh_4x4,DYAD,TRAFFIC_TRANSPOSE1,0.1,5624,2410.69,5.00011
mesh_4x4,WEST_FIRST,TRAFFIC_RANDOM,0.01,1505,12.8704,1.33678
mesh_4x4,DYAD,TRAFFIC_TRANSPOSE1,0.2,5627,3820.29,5.00033
mesh_4x4,DYAD,TRAFFIC_RANDOM,0.15,3514,4408.87,3.12533
mesh_4x4,WEST_FIRST,TRAFFIC_SHUFFLE,0.1,7125,2307.72,6.33411
mesh_4x4,DYAD,TRAFFIC_RANDOM,0.01,1461,11.9589,1.29933
mesh_4x4,XY,TRAFFIC_TRANSPOSE1,0.1,5627,2305.98,5.00033
mesh_4x4,WEST_FIRST,TRAFFIC_RANDOM,0.1,4178,3732.87,3.71044
mesh_4x4,ODD_EVEN,TRAFFIC_TRANSPOSE1,0.15,6459,3464.47,5.74144
mesh_4x4,WEST_FIRST,TRAFFIC_TRANSPOSE1,0.2,6870,3731.14,6.10822
mesh_4x4,XY,TRAFFIC_RANDOM,0.2,4667,4435.72,4.14933
mesh_4x4,WEST_FIRST,TRAFFIC_RANDOM,0.2,4097,4552.24,3.64156
mesh_4x4,XY,TRAFFIC_SHUFFLE,0.2,6750,3770.39,6.0
mesh_4x4,XY,TRAFFIC_TRANSPOSE1,0.01,1409,10.3726,1.25278
mesh_4x4,WEST_FIRST,TRAFFIC_TRANSPOSE1,0.1,6875,2126.94,6.10944
mesh_4x4,XY,TRAFFIC_RANDOM,0.05,4648,1876.07,4.13211
mesh_4x4,ODD_EVEN,TRAFFIC_SHUFFLE,0.1,7011,2402.8,6.23278
mesh_4x4,DYAD,TRAFFIC_SHUFFLE,0.2,6939,3711.15,6.16722
mesh_4x4,DYAD,TRAFFIC_RANDOM,0.05,3501,2628.99,3.112
mesh_4x4,WEST_FIRST,TRAFFIC_TRANSPOSE1,0.05,5991,385.837,5.32567
mesh_4x4,XY,TRAFFIC_SHUFFLE,0.1,6751,2159.14,5.99967
mesh_4x4,DYAD,TRAFFIC_SHUFFLE,0.01,1448,8.21892,1.28633
mesh_4x4,DYAD,TRAFFIC_SHUFFLE,0.1,6940,2271.49,6.16644
mesh_4x4,ODD_EVEN,TRAFFIC_TRANSPOSE1,0.01,1405,9.48114,1.24778
mesh_4x4,DYAD,TRAFFIC_TRANSPOSE1,0.15,5626,3308.7,5.00033
mesh_4x4,DYAD,TRAFFIC_RANDOM,0.2,3712,4621.11,3.29744
mesh_4x4,WEST_FIRST,TRAFFIC_SHUFFLE,0.15,7127,3283.97,6.336
mesh_4x4,WEST_FIRST,TRAFFIC_SHUFFLE,0.2,7093,3752.44,6.30733
mesh_4x4,DYAD,TRAFFIC_TRANSPOSE1,0.05,4829,747.586,4.292
mesh_4x4,ODD_EVEN,TRAFFIC_SHUFFLE,0.01,1494,8.90763,1.32911
mesh_4x4,ODD_EVEN,TRAFFIC_SHUFFLE,0.2,6933,3820.34,6.16544
mesh_4x4,ODD_EVEN,TRAFFIC_RANDOM,0.2,3885,4599.87,3.454
mesh_4x4,ODD_EVEN,TRAFFIC_RANDOM,0.01,1404,11.2721,1.24667
mesh_4x4,XY,TRAFFIC_SHUFFLE,0.05,5736,587.568,5.09867
mesh_4x4,DYAD,TRAFFIC_TRANSPOSE1,0.01,1433,10.6699,1.273
mesh_4x4,WEST_FIRST,TRAFFIC_TRANSPOSE1,0.15,6879,3219.09,6.11533
mesh_4x4,WEST_FIRST,TRAFFIC_RANDOM,0.05,4179,2147.4,3.71533
mesh_4x4,XY,TRAFFIC_TRANSPOSE1,0.2,5626,3700.38,4.99989
mesh_4x4,WEST_FIRST,TRAFFIC_TRANSPOSE1,0.01,1398,10.1288,1.243
mesh_4x4,XY,TRAFFIC_RANDOM,0.15,4716,4140.21,4.19111
mesh_4x4,WEST_FIRST,TRAFFIC_RANDOM,0.15,4108,4318.48,3.65244
mesh_4x4,ODD_EVEN,TRAFFIC_SHUFFLE,0.05,6258,476.289,5.56089
mesh_4x4,ODD_EVEN,TRAFFIC_SHUFFLE,0.15,6939,3411.05,6.17011
mesh_4x4,ODD_EVEN,TRAFFIC_RANDOM,0.1,4050,3817.67,3.601
mesh_4x4,XY,TRAFFIC_SHUFFLE,0.01,1429,8.83555,1.27122
mesh_4x4,ODD_EVEN,TRAFFIC_RANDOM,0.05,3858,2371.69,3.42911
mesh_4x4,DYAD,TRAFFIC_SHUFFLE,0.15,6941,3236.08,6.16711
mesh_4x4,ODD_EVEN,TRAFFIC_TRANSPOSE1,0.1,6441,2552.21,5.72589
mesh_4x4,XY,TRAFFIC_RANDOM,0.1,4493,3475.97,3.99589
mesh_4x4,ODD_EVEN,TRAFFIC_TRANSPOSE1,0.2,6376,3912.31,5.66878
mesh_4x4,XY,TRAFFIC_TRANSPOSE1,0.15,5625,3239.47,5.00011
mesh_4x4,XY,TRAFFIC_TRANSPOSE1,0.05,4861,763.901,4.322
mesh_4x4,WEST_FIRST,TRAFFIC_SHUFFLE,0.05,6289,450.495,5.59022
